name,id,minutes,contributor_id,submitted,n_steps,description,n_ingredients
blueberry cherry jam,72245,11,97901,2003-10-01,10.0,"i got this recipe from an internet search. it said it was exported from mastercook from kraft general foods. it is very easy to make and is excellent jam. the recipe called for sour cherries, but i used sweet ones and it turned out wonderfully. very nice blend of flavors.the cherry measurement is approx 3 cups pitted. you will need to chop the cherries and measure out the 1 & 1/2 cups after they have been chopped. it takes about 3 cups to get 1 & 1/2 cups chopped.",4.0
blueberry corn salad,176196,130,133174,2006-07-04,6.0,this recipe comes from a calendar that i picked up at wal-mart.  it is the recipe for the month of june 2006.  berries have so many health benefits and this is another great way of adding more of them in your diet.,
blueberry ginger corn muffins,216510,20,67656,2007-03-13,,love ginger.  love the combination of cornmeal and blueberries. now i can have all three. this lighter version comes out to 2 points per serving. they are smallish by most standards but perfectly sized for ww folk.,14.0
blueberry kiwi fool,216365,20,409184,2007-03-11,,"old fashioned english desserts of pureed and whole fruit combined with whipped cream. a simple, comforting dessert. taken from bh&g.",5.0
blueberry lemon iced tea,239181,15,226316,2007-07-08,,this is a nice refreshing drink for summer--we really like it. cooking time does not include chill time.,6.0
blueberry lemon jam,118236,15,43642,2005-04-20,,"i love the combination of blueberry and lemon, so i can't wait to give this a try.  from ball home canning products.  it assumes you know safe and proper canning procedures.",5.0
blueberry peach muffins,140673,30,37449,2005-10-10,12.0,"adapted from eat what you  love and lose, published in family circle magazine, this is yummy! i have made it even healthier! new england, south, mid atlantic, canada",11.0
blueberry pineapple buckle,250572,80,390058,2007-09-03,20.0,another recipe that i've been saving and finally decided to put it on zaar for safe-keeping.,17.0
blueberry raspberry pie,128249,65,47907,2005-06-30,,a delightful summer pie!,10.0
blueberry rum marinated pork tenderloin,162422,61,37779,2006-03-31,14.0,from southern living.,15.0
blueberry streusel muffins,30553,35,8688,2002-06-08,17.0,now here's a great recipe for all you muffin lovers out there! this one was put in the southern living recipe hall of fame in 1996 and is a real winner!,14.0
blueberry stuffed french toast,80471,160,10113,2004-01-08,12.0,this is yummy and a very good recipe to make when you have company.,8.0
blushing beauty mocktail,223190,5,37449,2007-04-17,,"from every day with rachael ray magazine, this is delicious!",
blushing cranberry cider,326548,35,128473,2008-09-22,,"this is a lovely hot cider...served in a warm mug and garnished with orange slices.  it is a delicious treat, after spending time out in the cold.",
blushing harvest crisp,325612,60,537937,2008-09-18,,a great recipe to have on hand for fall with the fresh apples and cranberries.,
blushing italian,220406,5,58104,2007-04-03,,"campari is an alcoholic aperitif obtained from the infusion of bitter herbs, aromatic plants and fruit in alcohol and water. it is a type of bitters. regular campari has an astringent, bittersweet flavor, but a sweet campari is also available.",3.0
blushing pork loin,406420,250,319847,2010-01-02,,"slow cooker recipe from the blog ""feaston"" - http://feaston.wordpress.com/2009/10/12/blushing-pork-loin/",8.0
bo legged apricot bbq,308646,45,844444,2008-06-11,,we always use this with chicken legs so that's how this name came about! a great combo of flavors come together for a sensational dinner. this also makes a great dump recipe!,9.0
bo s favorite meatloaf   for meatloaf haters,114001,105,203607,2005-03-23,7.0,my husband has always sworn that he hates meat loaf.  i came across a recipe in a campbell soup cook book and changed it to his taste.  now he wants this meat loaf every week and absolutely loves it.  it stays moist and reheats very well so we can make a large batch of it at a time.  we add it to omelets in the morning and make sandwiches out of it for lunch.,10.0
bob evans peanut butter pie,196070,15,347808,2006-11-18,7.0,peanut butter pie,6.0
bob s bananas in guinness cream,245744,10,383346,2007-08-10,5.0,taken on food network canada.,4.0
bob s favorite crepes,244328,30,426156,2007-08-03,19.0,"this crepe recipe is my dh's favorite.  we have an annual peach party and serve about 12 peach desserts, but the peach crepes are the favorite every year.  we credit this recipe for the kudos.  we've had it so long, we can't even remember where it came from.",
bob s pasta sauce,53557,180,12330,2003-02-05,,"this pasta sauce has always been a favorite when i serve it at home or at parties. the spice amounts are not precise, since i don't measure. i strongly recommend tasting and adjusting the spices during the simmering process. as always, when i use mushrooms, i try to use a variety, but it isn't necessary to do so. i sometimes like to add a cup of frozen baby peas towards the end of the cooking.",15.0
bob s white chili,21084,90,20371,2002-03-01,,i don't know who bob is and i haven't tried this; it was emailed to me by my sil. sounds good!,12.0
bobby deen s favorite goulash,453505,40,1366254,2011-04-11,9.0,"celebrity chef bobby deen has eaten some of the best cuisine around the world, yet he say's this simple ground beef dish is his favorite meal ever",
bobby flay s chicken fajitas,457429,40,1613365,2011-05-27,,"these fajitas are healthy, fresh, and delicious! i added a little bit of lime juice to the avocado to prevent browning. i used my magic bullet to make the marinade and other two sauces. these were amazing. i kept it low fat and low calorie by sticking with the recipe, however my boyfriend added cheese and taco sauce because he thinks diet food is junk.",
bobby flay s chinese chicken salad w  red chile peanut dressing,93520,20,117781,2004-06-16,7.0,"i saw bobby flay make this salad on one of his grilling specials on the food network. i made it last night, and wow was it ever delicious. it has become a new family favorite and is great for those who like a little spiciness with a nice crisp, cool salad. it is really easy to make and very easy to eat.",20.0
bobby flay s german pancake  pfannkuchen,373136,45,269521,2009-05-20,18.0,"enjoy with sausage and syrup for breakfast, or for dessert with ice cream and caramel sauce.   note:   calvados is a dry, apple-flavored brandy however you may use apple cider, brandy or sweet cooking wine as substitute,",15.0
bobby flay s jalapeno cheese grits,205903,1450,147095,2007-01-16,6.0,this is actually bobby's wife's recipe (her name is stephanie march); she makes them for him every year on his birthday. awwww.... ;o),
bobby flay s moules frites  mussels and fries  from throwdown,363935,1860,1218642,2009-04-01,26.0,"this is a great recipe!  since he did not win on the throwdown the other one had to be extremely good because this was great when i made it and i am not a professional. it is time consuming so try to manage accordingly. takes about 1 hour and 10 minutes to prepare. but it is well worth it. also, the prep time is approximate listed below as well.",21.0
bobby s tandoori spiced chicken,389311,20,232463,2009-09-08,13.0,"adapted from bobby flay's recipe over on fn's website.  the recipe posted there makes much more spice mixture than you would ever use to make the chicken, so i'm posted the reduced amounts.  this is very spicy, so if you aren't a fan of heat, cut the cayenne to 1/2 teaspoon.  this is served with bobby's grilled tomato jam & herbed yogurt.  (posting separately so it's not overwhelming.)",12.0
bobo s chicken   noodles,409821,150,1403860,2010-01-22,10.0,"this is an easy recipe i created that has actually turned out to be a family favorite.  some of you might call it chicken noodle soup; others might call it chicken & dumplings; we just call it yummy!  from the kitchen of tona thornburg court, bridgeton mo.",11.0
boca negra  bourbon chocolate cake,293515,510,182010,2008-03-21,,"lora brody gave the cake this name (black mouth) because it describes what happens when you eat it.  a chocolate lover's dream, this very rich, dense, nearly flourless cake is finished with a really luscious white chocolate cream.",8.0
bodacious blondies,402259,45,37449,2009-12-02,15.0,"these candy laced brownies are great for snacks, picnics, class trips, bake sales and good, old-fashioned dessert!  kids love making them almost as much as they like eating them.from cambell's kitchen.",
bodacious broccoli salad,62662,30,64934,2003-05-20,7.0,here's another variation of broccoli salad!,11.0
bodacious salsa verde,372871,30,358513,2009-05-19,,"this is a bodacious green salsa. don’t be fooled by the color. each ingredient represents one of the bodacious brickhouse babes. a tangy, zesty flavor with the underlying tastes of hearty roasted green chilies, tomatillos, and onions. tequila adds a splash of flavor and the fresh peaches gives it a fruity spin.

zaar world tour 5.",12.0
boerenkool,75673,45,37636,2003-11-05,12.0,a farmer's version of a kale dish with smoked sausage. true comfort food!,9.0
boeuf bourguignon in slow time,167457,465,20480,2006-05-09,,french hearty dish; you will bring france to your home.this is a recipe from my sister in law rachel that i tweaked a bit and converted to the slow cooker. serve with mashed potatoes. i don't kow what julia would say about this version' but i know it is good.,15.0
boeuf bourguignonne beef burgundy  crock pot or not,452758,630,318262,2011-04-02,11.0,"this is from the rival crock pot recipe book. boeuf bourguignonne, also known as beef burgandy, is a french peasant stew. it was my absolute favorite recipe that my mom made while i was growing up.
*to make gravy thicker. turn crock pot to high. combine 3 t flour with 3 t melted butter & put into stew
**to make gravy thicker for oven cooking method, make a roue of the flour & butter & add to oven dish.",
boeuf flamande,175548,21,142361,2006-07-03,9.0,this is a casserole which can be done on the top of the stove with your cast-iron pan. viva la france! posted for zwt ii '06,8.0
boeuf salad,353181,45,678366,2009-01-31,,"it'a romanian potato salad and it's very popular around holidays. add more or less mayo according to your taste. it can be made vegetarian, too.",9.0
bohannan chicken,447326,100,818380,2011-01-25,,"this is a family recipe, handed down from my great grandmother bohannan.  that's why i call it ""bohannan chicken.""  i like to serve it with a nice fruit salad of some sort, and petit pois.",13.0
bohemian potato dumplings,169910,50,80353,2006-05-26,,"this is a kind of gnocchi.  very easy to make and quite delicious.  perfect with a plain tomato-marinara sauce made from real summer tomatoes (otherwise, use a good brand of canned, plum).",10.0
boiled alaskan snow crab,108906,20,57695,2005-01-20,13.0,i know this is easy and you can have this done at the store but it's so much better hot off the stove at home!!,5.0
boiled baby confetti potatoes,92472,35,61842,2004-06-02,8.0,"while i was shopping the other day, i came across a small bag of potatoes in the produce section, called baby confetti potatoes. inside was a mix of white, red and blue/purple baby potatoes. fascinated, i had to bring them home, even though i had no idea at the time what to do with them. this is what i came up with, simple and tasty. cooking time may vary depending on your definition of ""medium"" heat. an equal amount/weight of baby potatoes, could easily be substituted should you not be able to find the pre-packaged ones.",
boiled chocolate icing,85701,18,51272,2004-03-04,2.0,"this is the chocolate icing i always use on miracle whip cake. the recipe has been used for years in our family so i don,t really know were it came from. it is a very rich icing and for those who are chocolate lovers, like myself this is the greatest.very easy to make.",
boiled date cake,104062,50,29196,2004-11-15,5.0,"a very simple cake, with very few ingredients, and quick clean up. just my sort of baking. it's not too sweet either.",9.0
boiled eggs and potatoes in bechamel sauce,65422,55,89229,2003-06-24,8.0,this recipe was transmitted from mother to daughter in my family and is traditionally served on fridays for the religious ,
boiled ham,11162,125,47510,2001-08-29,7.0,this is my adopted recipe. i haven't made it yet.,
boiled maine lobster,25035,25,26278,2002-04-12,,move over martha stewart. simple is better. let the natural flavor of the lobster come through and watch your guests' eyes glaze over.,4.0
bojangles biscuits,272221,22,531768,2007-12-17,9.0,"this is a great start to any meal! when dinner comes, you want to have more of these and take your dinner home.",
bok choy and chicken,84503,20,53859,2004-02-20,14.0,"so yummy. so easy. so fast. healthy, too! one of my mom's easy dinners. bok choy is a leafy vegetable that tastes kind of like a cross between lettuce and cabbage, but also with a flavor of its own.",6.0
bok choy with oyster sauce,441847,15,284897,2010-11-13,7.0,"this is a kylie kwong recipe.
simplicity at its best, and this vegetable loving family love this recipe!
the key is not to overcook the bok choy.",5.0
bolla s peanut stew,107515,25,178452,2005-01-03,5.0,"when i was in college a friend of mine taught me how to make this. he was from ""the gambia"" and told me they make it there with either fish or chicken. i have only made it with chicken and every time i serve it to someone new they ask for 2 things. first they want seconds and second they want the recipe. i did see a very close recipe to this printed about 5 years after bolla taught me. it appeared in betty crocker's recipe cards. enjoy",12.0
bolludagur buns   icelandic cream filled buns,427258,60,860079,2010-05-26,12.0,these fabulous cream-filled buns are served in iceland on bolludagur - buns day - the monday preceding ash wednesday. posted for zwt 6 - scandanavia.,10.0
bolo de banana    banana cake,117064,50,182358,2005-04-13,14.0,"an unbelievely delicious cake made by lucia ceresini, a friend from brazil.  i cannot begin to describe it other than wow!  since the recipe was in lucia's ""head""...  the recipe below is  a combination of lucia's handwritten recipe and my asking questions for clarification.  believe me, it was worth the effort!",9.0
bologna salad sandwiches,364244,10,951055,2009-04-03,6.0,"a throwback to when i was a kiddo, i haven't made this in quite a while.  ds came home from college for the weekend this morning and put in a request for some...i had totally forgotten about it!  after mixing it up i searched the site and while there are a few recipes on here, none are quite the same as this.  like others, my mom used to use her old hand-crank meat grinder to make this, but i just zing everything through the food processor for the same effect.  please note that the amounts are all ""to taste"", so adjust accordingly!  we've always enjoyed this the most on super fresh white bread -- the really soft stuff that sticks to your teeth and the roof of your mouth -- but it also tastes great on toast or buttered and grilled as you would for grilled cheese.  as a snack my kiddos love it on crackers.  add your own special touch and enjoy!",6.0
bologna spread,46309,20,58619,2002-11-16,4.0,"yeah, i know this sounds really gross; that's what everyone says when they first hear the name...but they change their tune after eating it! if you have the grinder attachment for your kitchen aid stand mixer (and i do), this is really fast and easy to make. i usually get garlic bologna, just because it adds a little more flavor to the spread. **please note it will take longer to make if you have a hand-crank style grinder.",
bolognese at it best,416110,150,520620,2010-03-09,,this has to be the best meat sauce i have ever eaten,17.0
bomb baker potatoes   guy fieri,383114,50,1330380,2009-07-28,,"a seriously great recipe from guy fieri.  the salt seeps in thru the skin of the potatoes and gives the skin a great strong flavor.  may be a bit salty for some folks, but very tasty",8.0
bombay blue sapphire  martini  sunday mart marts,91164,2,4470,2004-05-13,,"the secret to a suburb martini is to take the gin right out of the freezer, have the glasses iced, and have a jumbo olive stuffed with what you like, i like a jalapeno stuffed olive or try a lemon stuffed olive mmm or a large english pickled onion (i think that makes it a gibson). sacrilege i put in 2 ice cubes just so it isn't too decadent.",4.0
bombay lamb with lentils and banana raita,73076,25,87023,2003-10-10,7.0,these a very tasty lamb chops with a raita which is different. prep time does not take in the marinading time.,15.0
bombay rice   lentils,13717,70,8770,2001-11-06,12.0,a comfort food.,10.0
bombay spiced chicken skewers,328461,255,217482,2008-10-02,,nice combination of spices make this a tasty dish.,11.0
bon bon   hershey s  kisses  cookies,331436,75,969481,2008-10-18,17.0,"i got this recipe from an old church cookbook. the recipe calls for hershey's ""hugs"" (white & milk chololate combined) kisses, but any variety will work (chocolate ,mint, cherry, raspberry). i've used them all and they turn out great!",9.0
boneless breast of chicken saltimbocca,55665,65,68460,2003-03-05,,"my mom found this recipe in a benson and hedges cookbook, around 20 years ago. it's a little work but, believe me, it's worth it. i always requested her to make this dish on my birthday.",
boneless chicken,203474,60,387646,2007-01-05,9.0,"i got this recipe from graceland's table, a cookbook with elvis-inspired recipes. this particular recipe is from elvis' kitchen - the king actually ate this! 
the chicken is delicious when fried in butter and gets a lovely crust on the outside...tastes like the south!",5.0
boneless leg of lamb with mint  pine nut   currant stuffing,116097,85,73836,2005-04-10,15.0,"in spring, lamb is one of my favorite foods.  mint always works well with lamb and this simple stuffing really brings out the flavour.  the roast goes into the oven seam side up in order to encourage cruncy bits of stuffing to form along the seam as the lamb roast.  the herb stuffing infuses the meat with flavour and helps keep it moist. prep time does not reflect letting the currants marinate in the port overnight.",9.0
boneless roast loin of pork with aromatic vegetables,331929,120,461283,2008-10-20,,"carre de poc roti aux tomates, ail, oignons, et carottes from simply french, by patricia wells. my favorite french cookbook uncovers the mysteries of french cooking, it's not all heavy sauces. this is lovely, takes some time but is well worth it.",11.0
boneless skinless chicken thighs   pressure cooker,289549,15,314579,2008-03-02,6.0,"i buy boneless skinless chicken thighs from costco in bulk.  i like to cook them in my pressure cooker and then freeze them.  whenever i need a quick meal, i just pull out a cooked thigh and add to pasta, make a sandwich etc. etc.  recipe is for 4 chicken thighs, but the timing should be fine for 10 - 12 thighs, just check after original 10 minutes and cook more if needed. (timing for bone in chicken is much different).",
bonfire burgers,464663,15,1974680,2011-09-22,8.0,great for a halloween bonfire supper! from the southern heritage celebrations cookbook.,10.0
bongo bongo soup,289513,35,107583,2008-03-01,10.0,this is from trader vic's restaurants.  i first had this back in the 70's.  don't leave out the a-1 (it makes a difference) and don't sweeten the whipped cream :),12.0
bonnie s mint green tea,65264,12,52722,2003-06-20,7.0,this is a basic moroccan tea. i was inspired to figure out how to make this when it was served to me by a moroccan friend's mom. i found it so delicious that it spoiled me for plain japanese-style green tea. this tea came in very handy to soothe a recent sore throat.,4.0
boombambam fried rice,403080,30,1474845,2009-12-09,18.0,"this recipe is one of the first recipes i learned to make. when i was little, my mother would make fried rice like once a week and apparently i sort of realized/figured out how she made it as i grew older.
i usually use whatever i have in my kitchen... random veggies, random poultry, random everything! enjoy! (:

i normally use shrimp, ham, chicken, peas, corn, carrots, peppers, eggs, and etc.",
boot kicking cowboy stew,434714,120,628076,2010-08-09,,this is a hearty cold weather dish that will warm your bones and fill up your belly.,16.0
boozy beef steaks,299149,135,212609,2008-04-17,,"i used to use this recipe in the gastro pub i ran, it used to sell like hot cakes! use a good quality steak-it makes a difference. i also do this as kebabs if i'm serving it at a large gathering, it works a treat. this is perfect on the barbecue, but equally good just grilled or griddled inside.",
boozy blackberry sauce,139049,15,151325,2005-09-27,,"it's getting to the end of the english blackberry season, but this recipe uses frozen so can be enjoyed any time of the year.  this blackberry sauce recipe comes from ""preserved"" by nick sandler and johnny acton.  serve this with peaches and sponge fingers, or over ice-cream (or indeed as a base for home-made blackberry ice-cream) for a speedy dessert.  posted for zaar world tour 2005.",4.0
boracho bean soup or frijoles a la charra  restaurant style,441939,2160,539543,2010-11-15,,"this is the closest recipe i've found to the restaurant-style mexican boracho bean soup that i like so much. (anita)
love this soup!!",8.0
borani esfanaaj,473415,70,914002,2012-02-02,8.0,"fried spinach with yogurt, onions, and garlic",7.0
bordelaise sauce,231928,30,458442,2007-06-03,,"i love this recipe.  i'm posting it as i make it - i add more beef broth (not a huge wine fan, so i prefer the beef taste).  however, if you prefer a stronger wine flavor, just use 8 oz of beef broth instead (that was the original recipe amount).  i also put more green onions, but that's just because i love them!  really easy to make, too!  oh, and complete guess on the servings and cook/prep time.",10.0
border style shrimp,143335,20,63858,2005-10-31,,from cooking light.  is served with potatoes bravas and coleslaw.,10.0
borek  turkish meat rolls,228903,45,136726,2007-05-19,17.0,"these are a delicious, turkish version of the spring rolls.  great as main dish served with salad. i got this recipe from someone who brought time to a potluck. i submitted the original recipe, the stuff in brackets is what i had on had when i made them.  it’s hard to find sheeps cheese around here unless you go to a specialty food store.",10.0
borinquen jibarito sandwich,114779,30,39547,2005-03-31,,"the puerto rican style jibarito (pronounced hee-bah-ree-to) sandwich was created at the borinquen restaurant in chicago by owner juan ""peter"" figueroa.  here's my take on making his famous jibarito at home.  the plantain ""bread slices"" for this sandwich are most easily made if you have a large deep fryer, but it can also be done in a deep skillet with oil.  i originally saw this made on foodtv's ""roker on the road"" (episode ""on a roll"").  according to the borinquen website, these sandwiches are known as ""emparedado de platano"" in puerto rico.",14.0
bosnian sataras  satarash,380709,35,608617,2009-07-08,,"this is a basic type of sauce that goes great on top of potatoes, or on the side and with meat. we usually eat it with roasted pork and potatoes. i am totally approximating all of the measurements for this recipe as i dont have them written down. i hope that it turns out for you if you try it! i am also hoping to put some more bosnian recipes on here as well, i just have to figure out how since i dont use recipes for them. i'll try and post some pics one day as well... ;o)
this is a reddish colored sauce/gravy that we eat. it's simple but very good. if you try it and ever want to add more stuff to it, feel free! bosnian food is usually more simple, but very tasty.",7.0
boston baked beans,374315,480,883095,2009-05-26,,"i love baked beans, every way you can bake them, in the oven, on the bbq and slow-cooker. just every way you can have them, and here is one good recipe that i found, you shoud try it.  this is a no-fail way to make baked beans.  no soakng overnight, no parboiling, and in the end, a delicious home cooked flavor.",
boston baked beans pressure cooker,16796,50,10404,2002-01-05,,recipe posted by request.,
boston banana cream pie,115364,55,189643,2005-04-05,24.0,this is heavenly! it's completely homemade-2 layer cake with banana custard filling and chocolate glaze. i got this recipe from a friend who got it from the pillsbury bake-off. this special dessert takes a little effort but is gorgeous and delectable!!!,12.0
boston cream  creme  pie,366685,90,618715,2009-04-19,47.0,"the parker house hotel in boston is credited with inventing this fine dessert. traditionally, the ""pie"" is actually white cake with custard (or pastry cream), topped with a chocolate glaze. it's the official dessert of massachusetts and the boston cream donut is the official donut. i couldn't find a boston cream pie recipe that called to me, so i created one using my favorite cake, glaze, and pastry cream recipes. it was a huge hit with my family! if you want boston cream cupcakes, use a pastry bag with tip to inject the cream into the cupcake before glazing. use bourbon (madagascar) vanilla beans for best results. this recipe looks complex, but it's actually pretty easy. time does not include cooling.",
boston cream cheesecake,123549,330,174854,2005-05-25,,if you love boston cream pie..you will adore this cheesecake. this is soooo good. the best cheesecake i have ever tried. cook time includes chill time.,10.0
boston cream pie,48,135,1545,1999-08-24,32.0,,15.0
boston cream pie martini,150063,35,35714,2006-01-02,,yummy,3.0
boston creams cookies,269705,22,628779,2007-12-04,5.0,this recipe is from recipegoldmine.com. i have had it hanging around for a long time but haven't tried it yet.,9.0
boston fruit salad,274593,5,465056,2007-12-28,4.0,you can use spinach instead of lettuce - while the recipe calls for plain yogurt you can also use flavored yogurt for a bit sweeter dressing.,
boston market   sweet potato casserole,83141,60,123102,2004-02-05,5.0,"this is from copykat.com. i haven't tried it yet, but i love it when i go to boston market.",9.0
boston market cornbread,56322,40,61105,2003-03-13,6.0,"found this recipe on the internet... it called for yellow cake mix, but the butter mix adds a great taste. tastes just like boston market! (when i made it, i used 12 muffins and 4 mini loafs)",6.0
boston market dill potato wedges,59614,15,59532,2003-04-14,3.0,from copykat.com (http://www.copykat.com),
bottle gourd balls in spicy sauce  mock meatballs,95958,90,151089,2004-07-20,,i have been cooking this for past 2 years. and every time i make my family loves it. i got this from my mom. whose been doing it since i remember. i hope you all like it.,
bottled stewed tomatoes,198140,190,17652,2006-11-28,4.0,this recipe is at least 70 years old.  i received it from an elderly woman in her neighborhood who got it as a newlywed from her mother-in-law.  it's tried and true and good for you!,10.0
bottom of the bowl salad   greek dressing,221014,80,64667,2007-04-06,12.0,this is a great recipe to take to potlucks and picnics:   veggies in the bottom of the bowl marinate while the greens on top stay fresh & crispy.,12.0
bourbon apple pie,429734,90,1632642,2010-06-14,,classic lattice-topped apple pie.  serve with vanilla ice cream and la lechera for a twist on the ala mode version.,11.0
bourbon beef tenderloin,157971,80,185160,2006-02-27,9.0,"this came from ""the lady and sons"" cookbook by paula deen. this is a grill recipe but it can be also used in a 350°f oven, cooked for about an hour.",8.0
bourbon bread pudding with variations,469510,70,853067,2011-12-05,13.0,this recipe is based on one found in the neely's celebration cookbook.  the variations are things i've experimented with and had success.  it is easily doubled.,13.0
bourbon buttered apple slices,195302,30,17803,2006-11-13,,a savory side dish for thanksgiving.,9.0
bourbon carrots,263488,25,47907,2007-11-05,7.0,"easy to make, these carrots will brighten up any plate.",8.0
bourbon chocolate pecan pie,32740,75,37779,2002-06-30,4.0,southern living; my father-in-law's favorite.,
bourbon cranberry sauce,196366,30,125349,2006-11-18,16.0,"sooooo good! from 11/1984, food and wine",6.0
bourbon drunken upside down turkey,400000,2460,493604,2009-11-18,19.0,"a great thanksgiving day recipe for cooking & marinading a turkey upside-down, it has pleanty of flavor...and is super moist!!!!...yes moist....this is good for those people who aren't a fan of turkey because it's either ""bland"" or ""too dry""......if you have a flavor injector or syringe this comes out even better!!!!......**24-36 hour marinade time suggested!!!!**",18.0
bourbon mango pulled pork for the slow cooker,312998,490,207616,2008-07-09,11.0,"this is delicious served on a nice sandwich roll. it's sweet, spicy and smoky all the same time. this was extremely popular when made for a potluck dinner. everyone wanted the recipe which i received from the butcher at my local grocery store. enjoy!
*please note that canned chipotles can be used rather than the powder. use carefully as these peppers are known to be extremely spicy.",10.0
bourbon pecan pie,469116,65,34094,2011-11-28,8.0,adapted from a recipe by paula deen. this is my son's favorite pie.,
bourbon pork loin chili,298584,210,356511,2008-04-16,18.0,"this is a sweet and spicy pork chili with a kick!from the bourbon!  it is simple to make, but feeds a crowd!",22.0
bourbon pork tenderloins,109284,55,175574,2005-01-24,,"bourbon has such a great earthy smoky flavor and it lends itself so well to sweet as well as savory dishes. this is very simple recipe that provides big flavor. i hope you will try this and enjoy it as much as i do. i used to make this with a whole loin, but it has to marinate forever and i'm just not a patient person. so i scaled back the amounts and the cooking time. if you choose to make this for a whole loin, double the marinade, refrigerate overnight and roast it in the oven basting with the reduced marinade.",10.0
bourbon sauce for bread pudding and bread pudding souffl,14903,30,23728,2001-11-27,10.0,"a remarkable desert sauce that's incredible over bread pudding, fruit, ice cream, apple pie or any plain cake.",5.0
bourbon street chicken  golden corral copycat,460996,1440,1363533,2011-07-27,10.0,a good friend scrounged this up for me somewhere cause i adore their bourbon street chicken..wanted to put it on here so i didn't lose it :),8.0
bourbon  brandy or rum balls,147972,10,206101,2005-12-12,4.0,this delicious addition to holiday festivities uses an entire box of nilla wafers. we keep these on our coffee table during holiday entertaining.,6.0
bourbon pecan cake,43487,0,39547,2002-10-18,25.0,a cake with the taste of the south. bourbon soaked cherries and raisins make it festive.,
bourride stoise   provence fish soup with aoli,210087,60,242729,2007-02-08,,"bourride is a classic mediterranean fish stew or soup, which is much less complicated and expensive to make than bouillabaisse. there are various local variations, this version originates from sète, where they make it with monkfish & no other type of fish is added; however, in marseille they use a mixture of any firm white fish. some people serve the broth on its own, followed by the fish and vegetables with boiled potatoes and aïoli. another way of serving it is to put slices of french bread in bowls and pour the soup over them. however, this version is slightly more restrained and elegant! there is a local myth that says, when the greek gods got bored with olympus they came to marseille to eat bourride, this being the only food that was fit for the gods! don't be put off by the amount of garlic that goes into it, the soup itself tastes creamy rather than garlicky, and it's up to you how much aïoli you spread on your bread! this is a much adapted recipe taken from one of my favourite french cookbooks, ""la cuisine du sud - poissons et fruits de mer"" this quantity serves 6-8 people, with copious amounts of french bread & aïoli.....oh yes, don't forget the pastis too!",12.0
boursin cheese   make your own homemade   substitute  clone,65204,15,107651,2003-06-19,3.0,make your own boursin cheese at home. very easy and economical too! it can be used to prepare other dishes with great success.,
boursin mushrooms,49602,35,47579,2002-12-22,,these mushrooms are to die for. i usually serve them when we fondue. i kinda came up with the recipe myself and whenever i make them the pan ends up licked clean!,3.0
boursin parisian panini,288948,20,330545,2008-02-27,,recipe was included in a package of recently bought boursin cheese.,7.0
bow tie broccoli salad,254239,45,537937,2007-09-19,6.0,this can be made a variety of ways.  you can omit the bow tie pasta and just have the veggies and or add/delete as desired.  i think i like it so well because it's somewhat sweet.  feel free to improvise as needed for taste.,11.0
bow tie noodles and sauerkraut or hluski noodles,118248,35,185387,2005-04-20,3.0,"this is for those who love noodles and sauerkraut. it never lasts long so thought i would share it.. :)

if you like more butter you can add 2 more tablespoons with the onion while you are cooking it.
enjoy!!",4.0
bow tie pasta and veggie scampi,334738,35,969481,2008-11-03,7.0,"this dish was inspired by a dinner at a golf country club. the menu was a ""create your own"" pasta bar and this recipe is the closest i can come to replicating that dish. serve with some warm garlic toast and a salad.",
bow tie pasta salad with fontina and melon,421995,25,583349,2010-04-27,8.0,"now that the weather is getting warmer, i find myself looking forward to pasta salads and melon.  why not combine the two?  one of my favorite pasta salads from bhg ""fresh and simple pasta pronto"".  swiss cheese can be substituted for the fontina.",6.0
bow tie pasta with smoked salmon and cream cheese,429081,20,350938,2010-06-09,8.0,"this is one of my favorite ""ripped out of a magazine recipes"".",
bow tie pasta with tomato basil alfredo sauce,160147,27,282965,2006-03-15,5.0,this recipe is from www.icantbelieveitsnotbutter.com.,
bow tie sausage pasta salad,175096,25,219865,2006-06-27,7.0,"yummy summer dinner, serve hot or cold, i got it from my local supermarket. i like it cool.",10.0
bow ties and scallops,31690,17,27643,2002-06-20,6.0,"this is so quick and easy, and it's a meal good enough for a dinner party. i add a few red pepper flakes to mine.",
bow ties with chicken and asiago cheese sauce,264893,30,145352,2007-11-12,,"this is an easy but elegant meal, very similar to one served at the favorite italian joint. my ds loves this one!!!!",13.0
bow ties with chicken and spinach,159958,18,55221,2006-03-14,7.0,"a quick, tasty, and satisfying pasta dish.",12.0
bow ties with sausage and peppers,290209,25,463435,2008-03-05,9.0,"pasta and spicy italian sausage... can life get any better then this? yes, but only if you end this meal with a rich chocolate dessert! we like things a bit spicy at our house, but if you prefer something a bit milder, you can always use mild or sweet italian sausage as i'm sure the dish will turn out just as good.",5.0
bow ties with sausage  tomato  and cream,73450,45,101823,2003-10-15,,a very easy pasta dish for busy evenings. i like it served with crusty bread (to dip in the sauce) and a tossed salad. i have even doubled the recipe and served it to guest on a casual evening.,10.0
bow tie pasta with smoked salmon  farfalle al salmone affunicato,360374,25,1105991,2009-03-11,9.0,"fabulous, quick and tasty pasta dish.  i make this often and my husband inhales this (it is a sight to behold, let me tell you).  serve with a big loaf of garlic bread and your guests will be in heaven.  it serves 4 people (well, normal people- my husband can eat more than half of this himself) but you can easily double for a larger crowd.",
