,name,preprocessed_descriptions
991,apple cinnamon muffins,delicious
992,apple cinnamon mug cake,quick easy and cheap mug cake
993,apple cinnamon swirl pancakes  vegan,from a fatfreevegancom blog yummy vegan pancakes with a twist
994,apple cranberry crisp,from cooks country by americas test kitchen episode 105 autumn supper
995,apple curry tuna melt,we love tuna melts and this one is very different love the combination of ingredients
996,apple glazed beef brisket,
997,apple glazed pork roast with sauerkraut,
998,apple glazed stuffed pork chops,this is one of my favorite recipes to show off to friends stuffed with leeks and bacon with an apple dijon mustard glaze it is a very moist and tasty pork chop i like to serve it with roasted red potatoes with fresh rosemary and sea salt and sauteed fresh green beans
999,apple goat cheese bruschetta,it takes 6 ingredients and 20 minutes to put together this beautiful bruschetta provided by light  tasty magazine
1000,apple peanut salad with tuna,really strange flavor combo thats pretty good
1001,apple pecan pancakes,apples raisins pecans and just a hint of lemon  what could taste better with a steaming cup of fresh coffee these light fruity pancakes taste so good no one will realize how healthy they are freeze the extras to reheat in the microwave and youll have a hot delicious breakfast a lot faster than waiting in line at the drivethru or hand them to the kids cold for an onthego inthecar start when time is short
1002,apple pie in a scoop ice cream,i got this out of a parents magazine years ago  it it wonderful  the recipe says it tastes like apple pie but i am not an apple pie lover and love this ice cream  prep time does not include chilling or freezing
1003,apple pineapple dump cake,had this at a chums house in college and i havent tasted anything better since so easy so yummy
1004,apple prune crisp with hazelnut topping,from bon appetit
1005,apple raisin french toast casserole,this is a delicious breakfast dish that you prepare the night before and it sets overnight in the morning you just put it in the oven and enjoy  ive been making it for years now for christmas breakfast and thanksgiving its so simple and tastes out of this world youve got to try it
1006,apple rhubarb crunch,this has a bottom and top crust with filling the fruit filling in between its really a great dessert serve warm with ice cream or whipped cream
1007,apple strawberry rhubarb crisp,this recipe comes from my monthly lowes magazine
1008,apple walnut salad with cranberry vinaigrette,from bon appetit 1995 my sister discovered this and our entire family has loved it ever since try throwing in some crumbled bleu cheese or gorgonzola  tremendous
1009,apple walnut turkey sandwiches,taste of home
1010,applebee s classic patty melt  copycat,this is for dh he loves patty melts
1011,applebee s crispy orange chicken bowl,applebees crispy orange chicken bowl
1012,applebee s maple walnut blondies,these taste just like the decadent dessert served at the applebees chain
1013,applebees chicken fajita rollup,todd wilburs recipe for applebees chicken fajita rollup  love ya todd the menu description a large flour tortilla topped with melted monterey jack and cheddar cheeses grilled chipotle chicken shredded lettuce and pico de gallo rolled sliced and served with a mexiranch dipping sauce  recipe created by todd wilbur wwwtopsecretrecipescom
1014,apples and cinnamon breakfast quinoa,found this on pinterest from skinnytastecom i cant wait to try it
1015,apples and noodles,my friends made this for dessert but we like it with porkchops
1016,apples and onions  a side dish for pork,take a pork roast out of the oven turn out a bowl of stuffing and add a hot dish of apples and onions
1017,apples and peanut butter dip,my kids have always loved this as a healthy afterschool snack and my girl scouts chose to use it for their annual motherdaughter tea
1018,apples in phyllo,this is the best nonchocolate dessert i have ever made i must credit the idea for the recipe to my bosss husband harold when i made these for the family at christmas time i had a hard time convincing everyone that i actually made them and didnt buy them from a pastry shop and im known for my desserts please try themthey are excellent
1019,apples with crunchy topping,this is dhs favorite apple or other fruit crisp ive made it with pears peaches apricots cherries strawberries blueberries blackberries and combinations  it is easy fast and makes great leftovers  it is from the betty crocker 1954 cookbook
1020,apples with kahlua dip,this was an entry in rsc 10
1021,applesauce  crock pot,this smells great while its cooking and is really nice served warm with roast pork i found this recipe in the sunset crockery cookbook
1022,applesauce  using only apples  to freeze,this recipe is so simple i hesitate to post it it is such a staple at our house just thought others might like to try this method a rotary food press or food mill is needed for this this 
1023,applesauce apple butter,great for gift giving and on toast  this also is a nice fragrant air freshener
1024,applesauce carrot cake,i got this recipe from the newspaper but the person who sent it in said it was from a seneca applesauce jar its very good and the applesauce in the icing makes a tasty variation
1025,applesauce date muffins,delicious for breakfast or a snack from becel heart healthy cooking
1026,applesauce molasses cake   low fat  dairy free   gluten free,a moist delicious spice cake that also happens to be low in fat and free of gluten and dairy  if you use another gf flour mix make sure it contains adequate amounts of guar gum or xanthan gum to help the cake rise kosher pareve
1027,applesauce muffins,adapted from taste of home  we love these old fashioned tasty muffins  i substitute freshly ground whole grain flour for the allpurpose  these tender muffins freeze well please note if you substitute storebought wheat flour for the allpurpose you do not need to add the additional amount of flour  just use the same amount as allpurpose
1028,applesauce raisin muffins,
1029,applesauce sandwiches,i have used homemade applesauce or storebought my kids love these for breakfast from tohquick cooking
1030,applesauce snack,
1031,applesauce spice cake with brown sugar icing,this wonderful cake is from canadian living magazine
1032,applesauce streusel muffins,what a great way to use fresh apples  the smell while the muffins are baking is heavenly  you can replace the applesauce by apple butter
1033,appletini,a refreshing summer libation
1034,applets and cotlets  old fashioned candy  like persian delights,found in a search and posted in response to a request to add this recipe to the zaar database  i have not made this recipe so times are a guesstimate
1035,apricot   lemon scented oatmeal  porridge,i had some leftover apricot nectar so thought i would use it in my porridge i added the lemon as i have very generous lemon tree  i love it
1036,apricot almond cinnamon jam,i just made this up i wanted something different than the usual apricot jam so i added some almond extract and cinnamon when you open the jar you can smell the almond but it isnt overpowering they both are mostly a background taste it is a softer jam but not syrupy great on bread with peanut butter update it did jell up after about a month
1037,apricot almond cream cheese squares,i got this recipe from my girlfriend after tasting this at her house party i have been making these bars ever since they are so delicious and very rich also i have made these for parties cut them small and served them in tiny muffin cupsi have never had any leftover also i have used this base mix recipe omiting the preserves of course in lots of other recipes that call for a base it always turns out flakey and light with a wonderful buttery taste note prepare ahead these squares have to stay in the fridge overnight
1038,apricot almond orange tart with white chocolate cream,a delicious dessert not too sweet drizzled with white chocolate cream whats not to love
1039,apricot almond quinoa,gluten freewonderful side dish or saladhttpdosesofnourishmentblogspotcom201002livingglutenfreehtml
1040,apricot almond upside down cake,the runnerup recipe for 2004 in the san francisco chronicle adapted by janet fletcher from a recipe from pastry chef sasha crehan  try to find blenheim apricots as they are more fragrant  peeled fresh peaches are a good substitute
1041,apricot amaretto jam,i havent made this yet my swap partner vegemight sent me the jam cookbook from australia
1042,apricot and almond tart,this is a tart which i learned in paris
1043,apricot and brandy jam,this is a very yummy apricot jam and it makes a lovely gift too it is not difficult to make but does take a bit of time since dried apricots are used instead of fresh ones it is a good 
1044,apricot and ginger scones,this is an english recipe from prue leiths column in the daily mail i love the ginger cream that makes these scones really special perfect for afternoon tea
1045,apricot and mint fish,white fish fillets with apricot and mint sauce
1046,apricot and raisin butter cake,a moist and delicious cake i prefer this than traditional mixed peel cakes this is wonderful with a cup of hot tea which i just had prep time includes 2 hours of soaking time for the apricots and raisins tips if youre making the whole recipe you may use a bundt pan if halving the recipe use a 8 square or round pan if youre pressed for time you can heat the dried fruits in brandy in the microwave on low stirring every for 30 secs until warmed and fruits are soft to chop the apricots finely i use a kitchen shears
1047,apricot bbq sauce,cost to make this bbq sauce is 176 i found this recipe in family circle magazine i have not tried this recipe but im posting it for safe keeping
1048,apricot brandy chicken,this is a super simple quick recipe to make it tastes wonderful and the sauce goes really well with the chicken we all enjoyed it very much and both my son and husband thought it was moreish
1049,apricot breakfast cake,an easy cake  not too big  deliciously flavoured and moist  perfect to have over the weekend with endless cups of steaming tea and coffee  developed for rsc 6
1050,apricot canapes,these are so simple to make and so tasty with just the right blend of sweet and savory courtesy eatingwellcom
1051,apricot carrots,i needed a side dish and had a bag of minicarrots  found this recipe in the 1998 toh book  this really hit the spot
1052,apricot cheesecake,a heavenly sounding dessert even for someone like me who doesnt really care for cheesecake i havent tried this one yet but have been asked to make it soon ive included all the time for cooling in the 
1053,apricot citrus drink,heres a very good tasting nonalcoholic drink
1054,apricot clafouti,a simple dessert that you can prep in a couple of minutes pop it into the oven during dinner and itll be ready before you are
1055,apricot coconut crumble cake,easy you may use peaches if you like
1056,apricot colada alcohol optional,a recipe from the apricot producers of california leave the alcohol out for a family treat everyone can enjoy
1057,apricot cranberry bread,bright flecks of apricot and cranberry peek through the crust of this hearty bread well wrapped this bread will keep for a month or two in the freezer a wrapped loaf atop a cutting board would make a thoughtful hostess gift you can cut the amount of butter by 12 cup for a lower fat version it will be a slightly drier yet still delicious bread
1058,apricot curry dressing,something a little different  for those on ww points  1tbps  1 point  for those not watching their weight you can use standard ingredients    this dressing quickly became our all time favourite  you can add more of what you like ie garlic or curry powder to vary the taste   if the mixture is too thick for what you want to use it for just add some fat free or low fat milk to thin it down
1059,apricot custard tart,
1060,apricot dessert sauce,sweetly delicious served over bread puddings cakes or apple dumplings  from the united states regional cookbook culinary arts institute of chicago 1947
1061,apricot dip sauce,excellent sweet dipping sauce for chicken nuggets  if you wish to spice it up  add a dash or two of your fav hot sauce
1062,apricot filled cake roll,a white cake filled with creamy apricot curd covered with a cream cheese frosting and crushed cashew and toasted coconut garnishing the cake apricot curd is a take off of lemon curd which is a spread of choice in england and scotland and originated in portugal for ease this can be made as a layer cake filled and frosted
1063,apricot flan in caramel raisin sauce,flan is always a welcome sight  this recipe does require for the flans to chill overnight and that is not reflected in preparation  the actual prep time is minimal for the filling and caramel sauce  recipe was developed for rsc winter 2005
1064,apricot gelatin salad,very fruity we love this one allow time to chill
1065,apricot glazed green beans,wonderful side dish for dinner party or to impress
1066,apricot glazed sriracha wings,i found these online and tried them because we love all things sriracha and wow they are amazing wings note the prep times includes marinating
1067,apricot granola,crunchy and healthy hmmdid i say the 
1068,apricot horseradish spread,ultra easy and yet impressive apricots and horseradish arent an everyday combination folks will notice i got this recipe from attending a party a number of years back and noticing i suggest adjusting preserve and horseradish amounts to your personal taste  you can sneak a taste as you are mixing
1069,apricot jam   microwave,quite good and quick
1070,apricot jello mold,this is the one i finally found the jello mold for which i have spent so much time searching this was in the farimount temple cookbook from 1964 and my sister in law finally found it for me in those days we didnt have apricot jello so we used the orange today we dont have to do that anymore
1071,apricot lamb kebabs,a recipe from fattys big bbq book i suspect gail stanton who compiled the recipes may have had more input that paul fatty vaugtin  an australian rugby player preparation time does not include 4 hours to marinate
1072,apricot lentil soup,this armenian soup has been my standby cold weather soup for as long as i remember  its rich and flavorful sweet but not too sweet and tangy perfect for a cold winters night  it freezes extremely well too and is actually pretty tasty served cold esp if you puree it completely  a very versatile dish and so quick and easy to make
1073,apricot loaf,this very quick recipe came from a friend who brought it to work to share regularly
1074,apricot mousse,light summer dessert
1075,apricot mustard,this is a quick little dipping sauce that i found in my cuisinart electric fondue pot booklet its nice warm or cold with sausages or chicken bites
1076,apricot parfaits,this is from the food section of real simple magazine  you can use either the shortbread cookies or replace them with chocolate wafer type cookies and use strawberry or raspberry preserves instead of the apricot  you may want to break the cookies up just a little
1077,apricot peach pie,this is a delicious pie and quite easy to prepare even for a novice baker its great in the winter when fresh fruit isnt always available
1078,apricot peach smoothies,yummy summer sipping i really enjoy this even though i dont typically drink any creamy drinks this was a taste of home recipe prep time includes freezing time for the banana
1079,apricot prune coffee cake,this is one of the best coffee cakes i have ever tasted a real favorite whenever i serve it i got the recipe many years ago from some mccalls cooking cards
1080,apricot sorbet,not sure where i originally found this recipe but i have had this recipe in my files for a long time  sounds very easy
1081,apricot swirl cheesecake  light,mmmmmm  made this for my dad on fathers day  he loves apricots and loved this light cake  a lot of ingredients but pretty easy to bake  another r reisman recipe  if you cant find cream of tartar  dont worry i have made this cake without it with great results
1082,apricot turkey breast,this is posted for the zaar tour contest for jewish recipes since i dont know any i got this off a website for jewish recipes
1083,apricot vanilla vodka,this recipe makes a great home made flavored vodka  tastes awesome out of the freezer or with a splash of tonic or club soda or even with some orange juice  needs to sit in the fridge about a week for the full flavor to permeate  oh and use a decent vodka no cheap bar stuff but you dont have to go crazy with van gogh or belvedere or anything   i estimated the servings we dont keep track of that sort of stuff   cooking time does not include resting in the fridge
1084,apricot walnut scones,these are my favorite scones  the cake flour and the little bit of extra sugar helps keep them light and tender  if you dont have the cake flour just use 2 cups of regular flour  handling the dough gently and only as much as necessary helps preserve the texture
1085,apricot whole wheat bread,a nice change in a bread for snacks
1086,apricot yogurt scones,got these off of aol  they are very good great served with out the glazed and a little c ream
1087,apricot  fig and yogurt swirl,this came from a little booklet called 
1088,apricot glazed roasted asparagus,i found this recipe some time back in a magazine it is very tasty
1089,apricot glazed turkey with onion and shallot gravy,i first made this 5 years ago and its become a thanksgiving staple ever since the turkey is always very tender and the gravy is to die for
1090,apricot nut spread,from simple  delicious magazine this sweet and tart spread can add a special flavor to muffins and biscuits  please note the 8 hours of cooking time is actually the amount of time the apricots soak in the water before making the spread
1091,apricot pumpkin bread pudding  diabetic heart healthy,also try this bread pudding with raisins or dried cherries in place of the snipped dried apricots
1092,april fools  day meatloaf  cake,i got this recipe form cokingvilagecom they used plain white mashed potatoes i thought that it needed to be pink  the family had a hard time because there brain was saying cake but the mouth was saying meatloaf and mashed potatoes  this was a lot of fun for april fools day
1093,arabian coffee,this might have been the worlds first and oldest flavored coffee wether it is or not its delicious and something to be sipped slowly and enjoyedtime given is an estimate stoves vary warning this is authentic and its very sweet and you might want to cut back on the sugar
1094,arabian orange ice,before commercial ice cream was available in the gulf countries homemade ices were very popular in the summer heat this is a basic recipe calling for oranges and lemons but can easily be substituted with crushed melon strawberries or whatever your favorite fruit may be from 
1095,arabic cinnamon drink  iner,keeps the chills away
1096,arabic omelet   ijee   middle east  palestine,this is great to make for suhr its a little different than the traditional omelet that most are used to but it does make a great dish to eat for suhr during ramadan ramadan kareem
1097,arabic rice,this is a basic arabic rice recipe  that is easy to cook without meat it made with vermicelli thin noodles it excellent with stew recipes or any main dish
1098,arakas   greek fresh green peas in tomato sauce,zwt6  greece
1099,arancini  italian rice balls,arancini is italian for orange to describe how these rice balls are shaped serve with your favorite spaghetti or marinara sauce with a handful of frozen peas mixed in 
1100,arborio rice pudding,creamy rice pudding made with arborio rice
1101,arby s jamocha shake copycat  low fat recipe,this is a copycat recipe that tastes just like arbys jamocha shakei changed the recipe to make it lower in fat  using dreyers fat free ice cream you cannot tell the difference  there is less than 1 g fat per serving
1102,arby s sauce copycat recipe,this ia as close to the real thing as i could get
1103,arctic lemon freeze,this recipe was given to me by my cousins wife she always has to double the recipe as they are raising six beautiful daughters together the doubled recipe fits a 9
1104,arctic summer cocktail,tasty found on drinkswap
1105,argentine grilled chicken skewers,i found this one on line while i was putzing around it sounded good and it seemed quick and easy so i gave it a shot the flavor was marvelous it lived up to my expectations
1106,argentine red sauce and marinade,this recipe is from canadian livings get grilling summer 2007 its a wonderful sauce and marinade thats also called chimichurri rojo to marinate 1 lb of lamb chops boneless pork chops steak or chicken legs youll need 13 cup of sauce marinade the meat for 4 to 24 hours before grilling
1107,argentinean barbecued steak,this is a great recipe from ingrid hoffmann
1108,argentinean burgers with chimichurri sauce,i made these today after watching michael smith make them on chef at home  my mouth was watering while watching him grill the burgers so i just had to try them  i luckily had everything on hand and they took no time at all  theyre really really goodi made 8 really big burgers on my barbecue but the recipe states you can make 12 regular sized burgers if you preferrecipe source httpwwwfoodnetworkcarecipesmainbeefrecipehtmldishid10409
1109,argentinean empanadas  meat pies,i got this recipe from the recitopia newsletter wwwwwrecipescom the worlds greatest recipe ezine havent tried it yet but hope to soon if you try it please let us know the results
1110,arizona green chile cornbread  green chili cornbread,from best of the best from america cookbook by gwen mckee  barbara moseley c 2005
1111,arizona green tea w gingseng   honey,tastes like the real thing yummy and refreshing created by todd wilbur httpwwwtopsecretrecipescom
1112,arizona lemon meringue pie,lemon extract and fresh lemons from my very own back yard make this a real family favorite using 4 eggs the meringue is very high i would suggest trying my recipe 339607 for your crust or if in a hurry use packaged or frozen crust
1113,arizona marinade for grilled chicken pork or beef,quick and easyif making marinade for chicken i use 1 t worcestershire for pork and beef i use the full 2 t original recipe calls for 1 t poultry seasoning we dont use it  enough marinade for 68 pieces of meat maybe more grill on med coals about 20 minfrom the kitchen of kentucky anna
1114,arkansas corn bread,an old cornbread recipe originating in arkansas
1115,arkansas hot pepper pecans,my grandfather used to make these all the time they are like potato chips you cant eat just oneprep time includes the soaking after cooking i do not include the salt
1116,arlene s bananas foster,this was the perfect end to a perfect meal with great friends sweet and cold and creamy the original recipe comes from chef nathaniel burton who was a master chef in new orleans serve over the best vanilla ice cream you can find
1117,armadillo potatoes,tasty potato appetizers
1118,armenian dinner sandwich,found this on a global site  armenia borders turkey and georgia in eastern europe and was the smallest soviet republic when in power
1119,armenian lemon chicken soup,this chicken soup is very easy to make and ive provided two version of the recipe for those who want to use leftover cooked chicken ready in an hour vs those who want to start from scratch using uncooked chicken takes up to 4 hours  i created this soup on my own in college years ago and it has become famous among my friends all over town  i hope you enjoy it
1120,armenian pizza   lahmajoun,this is an individual size pizza made with a ground meat mixture  after baking you can roll it up and eat it plain or with a squeeze of lemon  i love it with  melted grated jack and chedder cheeselettuce and tomato taco style  they are delicious  also when cool stack with wax paper in between bag and freeze  heat in microwave  normally my family doubles this recipe and we have a marathon with my dad manning the oven and my mom and i preparing the pizzas  the kids love to grab one or two out of the freezer after school  feel free to adjust seasonings to taste and definitely use the tortillas rather than pita bread
1121,armenian potatoes,found this in one of our local church cookbooks making for potatoes that are a touch different  and always an empty bowl  the recipe calls for old potatoes  i find for most part i never have old potatoes  if i do not have large potatoes i eyeball an equivalent weighing  112 pounds of potatoes takes about five what i call regular sized potatoes serving size is a quesstimate as it depends what you are serving and how big the helping
1122,armenian rice pilaf with mushrooms,i got this from an armenian girl who works in my bank if you substitute margarine for the butter you have a good vegan meal
1123,armenian wedding pilaf,this is my favorite type of pilaf similar to what my mother makes you can customize it to your own taste
1124,arni kleftiko  rebel lamb,the verb klevo in greek means to steal  this delicious lamb dish is called kleftiko because it is said that when greeks were fighting to liberate themselves from ottoman rule and hiding in the mountains they would seal all the ingredients for this dish in a clay pot bury it with hot coals under ground cover with dirt and allow it to braise slowly until done  this way there were no delicious cooking smells in the air to betray their presence and bring the ottomans to their hideout  a romantic story  a lovely dinner  dont forget some good red wine  many for lack of a clay pot like a bean pot wrap their kleftiko up well in parchment a couple of layers and braise that way
1125,arnold palmer company casserole,this recipe is easy and tastes great very simular to a lasagna but lighter flare usually a family pleaser this recipe comes from a friend of my who is from rochester ny
1126,aromatic and cheese stuffed meat loaf,originally this recipe came from the williamssonoma kitchen but i can never leave anything alone ive put my signature on this wonderful meatloaf and now its ready for company or even your mil jk serve with recipe 336506 recipe 339838 and for dessert recipe 319186 served over vanilla ice cream your friends and family will crown you
1127,aromatic chicken curry,this chicken curry is not as spicy as the  normal ones instead it has more fragrance if you still think its too hot use only one chili pepper
1128,aromatic peas and carrot pilaf for one,this is my very own 100 original recipe for an authentic indian 
1129,aromatic vegetable fried rice  su cai chao fan,apparently the secret of great fried rice is to first toss the cooked rice in peanut oil and then mix in the seasoned vegetables this rice calls for a clear vegetable stock you can use a highly processed and scary store bought one  but for a really authentic and impressive flavour you can go to the minimal effort of making your own the recipe i use is recipe424266 cooking time does not include preparing the rice
1130,arroz blanco  white rice,this recipe appeared in a cooking light magazine
1131,arroz c atum,this is a cape verdean classic i grew up in an area with a large cape verdean population and this was a common quick easy and traditional dinner at several of my friends houses for best results use portuguese or cape verdean canned tuna in oil
1132,arroz con  crema rice with sour cream,i saw this on the food net work the     best thing ive ever eaten  as a great side dish from mexico and thought i would like to try it  so i went and found  a recipe for it  the sour cream needs overnight mingling
1133,arroz con dulce,puerto rican style rice pudding yummy and easy to do
1134,arroz con gandules  rice and pigeon peas  a puerto rican fav,this dish is a main staple for me
1135,arroz con gandules  rice with pigeon peas,this is a recipe that my motherinlaw taught me how to make  it is from puerto rico and is a traditional dish for many meals  gandules or pigeon peas is a type of bean and can be found in most spanish or latin stores they are distributed and labeled by goya  bijol can also be found in spanish stores in a small yellow round container  it is a yellow food coloring spice something like paprika or turmericthis is a great recipeeveryone who tries it raves about it  its worth hunting for the ingredientsi guarantee it
1136,arroz con leche  spanish rice pudding,from spainrecipescom
1137,arroz con pollo,i could not stop thinking about the arroz con pollo by jorge ayala that won the thowdown with bobby flay it looked so good so i decided to try and find it on the internet but to no avail i have no idea what jorges tastes like but i wanna try it in the meantime i came up with a version that is pretty tasty
1138,arroz con pollo  chicken and rice,serve this simple and satisfying mexican dish with hot tortillas
1139,arroz con pollo  chicken with rice,this is the way my grandmother made it  i make it this way all the time  its good and delicious
1140,arroz con pollo   delicioso style,this is an ingrid hoffmann recipe she grew up eating this at least once a week in columbia she says that there are never leftovers when she makes this recipe if you need a faster fix you can use frozen mixed peas and carrots and frozen green beans instead of fresh
1141,arroz con pollo    mi favorito,this recipe has never failed me it tastes like comfort food but looks fancy enough for a dinner party
1142,arroz con pollo a la tica,one of the most typical dishes in costa rica is arroz con fill in the blank  it can be chicken beef pork or shrimp  but most commonly it is made with chicken because its affordable and many folks grow chickens in their backyardsthis is my take on arroz con pollo  or chicken with rice  my housekeeper has shared her lunch with me on many an occasion and it is always wonderful  last week i finally asked her how to make it and she rattled off directions  i dont know if i captured everything or not but we think it tastes pretty good for a first trythis recipe includes a sauce called lizano  im told it can be found in the hispanic section of some grocery stores in the states or from specialty online retailers  i dont know because i never knew this sauce until we moved to costa rica  if i find a subsitution or a source ill edit this recipe to include the informationupdate  couldnt find a source but the closest you may come is worcestershire sauce  just go easy on it as lizano is not as strong tasting as worcestershireenjoy
1143,arroz con queso   rice with cheese  bolivia,i used this recipe for week 32 of my food blog travel by stove i am attempting to cook on meal from every nation on earth and bolivia is my 32nd stop unless otherwise noted my travel by stove recipes are taken from authentic or traditional sources and this recipe has been posted without any alternations or additions to the ingredients this bolivian side dish is made with a fresh farmers cheese kolla traditionally used is saltier than queso fresco so when making this be sure to taste and add salt according to your preferences
1144,arroz de marisco,arroz de marisco is a very well know recipe there are many version of it this is an easy and quite soupy one
1145,arroz non pollo,vegetarian version of the spanish classic but made with chickpeas instead of chicken
1146,art smith s goat cheese drop biscuits,this recipe is by oprahs former chef who now owns table fiftytwo a restaurant in chicago these biscuits are served to their diners they are a fairly flat biscuit
1147,artichoke   garlic linguine,if you love artichokes and garlic youll enjoy this dish i adapted it from a dish a friend makes i serve it as a side dish with baked chicken i sometimes throw in some peeled shrimp for a different taste and it becomes a main dish a good salad and some crusty bread makes it a good meal
1148,artichoke   black olive baked chicken,simple simple simpletakes no time to prepare serve with your favorite potato casserole and a some coleslaw
1149,artichoke   spinach dip,the marinated artichokes add a little bit of tang i created this because i wanted something unusual and with more zip
1150,artichoke   white bean soup,if you love beans you will love this recipe  i also used a can of great northern beans and omitted the croutons to lower the calories  adapted from the culinary institute of america
1151,artichoke   rice  salad,this is my absolute favorite dish it is different but very yummy
1152,artichoke and crab toasts,this is a very easy recipe with a lot of flavor the english muffins can be replaced with baguettes french bread or other base
1153,artichoke and fennel salad,a great antipasta
1154,artichoke and potato hash,now i hope that everyone remembers growing up making roast beef corned beef or chicken hash  throw in a little of this a little of that  carrots potatoes celery some gravy or broth some seasoning etc and presto  throw a couple of eggs on top and dinner was served  well this is more of a hash i love to serve with grilled steak rather than a main course but it is still a method  now i like to make a large batch of this but if you just want a small side dish or want to make it more of a main course it is easy to adjust
1155,artichoke and ripe olive tuna salad,an unusual and rich flavor combination serve this salad with sliced tomato on a bed of lettuce or on french bread adapted from delish on msn
1156,artichoke and soybean soup,this is a lovely simple recipe from andrew weil totally healthyand so fast to make i added just a bit of my own style
1157,artichoke breakfast burritos,this recipe won the fresh artichoke recipe contest in castroville california and was created by julia perez magana
1158,artichoke chowder,vegan chowder
1159,artichoke dip bread  slice and serve,this one is from a blog called closet cooking and it looks divine you bake the dip on top of the bread so all you have to do is bake slice and serve
1160,artichoke hearts in mustard sauce,i have a community cookbook from an auto glass company and this was submitted by grace williams state farms st petersburg  oven and microwave instuctions given  i havent tried this yet
1161,artichoke mushroom pie,this is a dish i used to make a lot as a newly wed the first time i have served it as an appetizer or side dish and once as a main dish its a nice addition to a brunch as well
1162,artichoke onion frittata,101 things to do with a pancake mix
1163,artichoke roll,this recipe comes from the jeffersonday house in hudson wisconsin they serve this to guests as they check in artichoke lovers will love this recipe
1164,artichoke salad with oranges,african recipe found on world recipescoms website posted for zaar world tour 4
1165,artichoke shrimp linguine,found this gem in a taste of home magazine  it was submitted by daniel spengler of seattle washington  excellent light pasta dish that can easily be made into a vegetarian dish by omitting the shrimp and adding mushrooms asparagus sun dried tomatoes and spinach  i used the wine instead of the chicken broth  as is or doctored up this is a great recipe
1166,artichoke soup,healthy vegetarian and delicious
1167,artichoke spinach lasagna,a great option for vegetarian lasagna you will greatly enjoy the mix of vegetables in this dish note  pasta sauce can be a white or red but i have found that if im freezing it that the red works out best for menone the less i believe the original recipe does call for a white sauce  thanks marg caymandesigns for pointing it out
1168,artichoke stuffed manicotti   weight watchers,this is from a 2004 weight watchers magazine  only 4 points per serving serving  2 manicotti  sounds delicious  havent tried it yet will update this when i doi will use fatfree ricotta
1169,artichoke veal chops,tender veal chops are browned and then roasted with bell peppers and artichokes a fabulous springtime meal
1170,artichoke  lemon   parmesan pasta,a simple pasta supper thats packed with italian flavor
1171,artichoke  pancetta and spinach frittata,great accompanied by fresh fruit and mimosas made with prosecco
1172,artichoke sausage stuffing   dressing,from quick fix meals  we actually couldnt find turkey sausage so we got uncased pork sausage from whole foods cooked it in the pan drained the fat and did everything else exactly as stated  very tasty
1173,artichoke spinach dip,
1174,artichokes a la polita,a lovely dish
1175,artichokes and ham in creamy mushroom sauce,the ingredients in this dish combine beautifully perfect for a special occasion or when my mum feels like spoiling dad 
1176,artichokes steamed in the microwave,i love fresh artichokes but did not like how long they took to steam until i discovered this procedure 3 artichokes done in 11 minutes how easy and quick is that this can also be a prelude to grilled or roasted artichokes if you steam half the amount of time in the microwave and then proceed with the other recipes great timesaver
1177,artichokes with prosciutto and cream,this is a recipe from the los angeles times by russ parsons i saw this while flipping through the food section at the airport and it caught my eye because my husband absolutely loves artichoke dip and i thought i might try something a little different this is definitely fancier but very good
1178,artichokes  lamb  and orzo avgolemono,
1179,arugula and pear salad with toasted walnuts,cooking light may 2009
1180,arugula and spinach salad with caramelized shallots,this lovely salad from pure food by christine cushing is a sophisticated variation of greek salad  the flavours compliment each other beautifully
1181,arugula pepperoni salad,from hormel foods absolutely fabulous
1182,arugula pesto,a different twist on pesto basil sometimes isnt what you want
1183,arugula pesto con noci,i am addicted to young arugula or rocket as we call it at the moment i have a glut in my garden this is my favourite arugula pesto changed and tweaked by me and will probably be tweaked again  please read the extra notes at the bottom of recipe delicious forked into hot drained spaghetti
1184,arugula salad with oranges  feta  and sugared pistachios,to save assembly time make the pistachios ahead of time and store in the refrigerator in an airtight container or you could use an equal amount of chopped toasted pistachios cooks illustrated had this recipe in their novdec 2006 edition
1185,as easy as it gets vegetable soup,we had spent a long day in the big city and i wasnt really in the mood to make a full blown meal when we got home soup seemed to be the easiest way out of my dilemma along with a sandwich
1186,as big as a plate cookies,i have been making these cookies since i was married 26 years ago  the original recipe came from sunset magazine i think and these are my husbands favorites  make sure to let them cool on the cookie sheet for at least 5 minutes after baking or they will fall apart
1187,ashkenazi charoset,entered for safekeeping for zwt   from oukosherorg by womens branch of the orthodox union  this is a traditional condiment served at passover seder usually served either on matza or romaine lettuce leaves with a little horseradish paste
1188,asiago cheese puffs,great with wine
1189,asiago chicken quiche,i found this recipe on pillsburycom  let me just say yum  this recipe is soooooo good  i never thought chicken would be good in a quiche but it really works in this recipe  its a very savory recipe  it is good for breakfast lunch or dinner
1190,asiago dip,i was actually looking for an asiago fondue recipe when i found an easy warm asiago dip recipe on the betty crocker website  unable to locate a desired fondue recipe that would focus on asiago cheese as opposed to a combination of cheeses i decided to use the dip recipe with some modifications  it turned out wonderfully and it was so easy so here is what i ended up making  i used light versions of the cream cheese and sour cream with success
1191,asiago drop biscuits,delicious drop biscuits that are great for brunch or dinner  leftovers can be diced and baked as crutons  the whole wheat flour gives it a nice texture  i got this recipe from one of my favorite canadian authorteacher bonnie stern
